"AbdielIndivID","IndividualName","IndividualTitle"
"665","Grescovich, Mark J.","Banner Corporation - Chief Executive Officer, President, Director, Member of Executive Committee, Member of Risk Committee, Chief Executive Officer of Banner Bank, President of Banner Bank and Director of Banner Bank"
"667","Neumann, David A.","PCTEL, Inc. - Senior Vice President and General Manager of RF Solutions"
"676","Shibayama, Ikurou ","Itoham Foods Inc. - President, Executive Officer, Senior General Manager of Processed Foods Division and Director"
"677","Richardson, Jeddiah Kurt","Great Quest Fertilizer Ltd. - Chief Executive Officer, President and Director"
"687","Lee, Kun Young","Binggrae Co., Ltd. - Chief Executive Officer, President and Representative Director"
"708","Tussing, Andrew L.","Vaccinogen, Inc. - Co-Founder, Chairman, Chief Executive Officer and President"
"709","Sawyer, Philip M.","Invuity, Inc. - Chief Executive Officer, President and Director"
"710","Yan, Junxu ","Titan Wind Energy (Suzhou) Co., Ltd. - Chairman and President"
"715","Reynolds, Robert Lloyd","Putnam Municipal Opportunities Trust - Chief Executive Officer, President, Interested Trustee and Member of Investment Oversight Committee A"
"721","Vasylyuk, Nataliya Romanivna","Avangardco Investments Public Limited - Chief Executive Officer and Director"
"727","Lutnick, Howard W.","BGC Partners, L.P. - Co-Chief Executive Officer"
"738","Maheshwari M.Com., F.C.A., Krishna Kishore","Grasim Industries Limited - Non-Executive Director"
"741","Winkler LLM, Thomas Georg","Lenzing Aktiengesellschaft - Former Chief Financial Officer and Member of Management Board"
"761","Anderson, Bonnie H.","Veracyte, Inc. - Co-Founder, Chief Executive Officer, President, Director and Member of Non-Management Equity Award Committee"
"763","Velumani Ph.D., A. ","Thyrocare Technologies Limited - Chairman of Board of Directors, Chief Executive Officer and Managing Director"
"781","Shoshani, Ziv ","Vishay Precision Group, Inc. - Chief Executive Officer, President and Director"
"786","Gee, Jack ","iShares Trust - iShares U.S. Real Estate ETF - Chief Financial Officer and Treasurer"
"825","Latham, Michael Arthur","iShares Trust - iShares MSCI USA ESG Select ETF - Treasurer"
"846","Duong, Vu Tien","Petrovietnam General Services Joint Stock Corporation - Chief Executive Officer, General Director, Member of Board of General Directors and Member of Management Board"
"873","Lippman J.D., David Brian","Metropolitan West Funds - Metropolitan West Strategic Income Fund - Principal Executive Officer and President"
"910","Chew, Tuan Chiong ","Frasers Centrepoint Trust - Chief Executive Officer of Frasers Centrepoint Asset Management Ltd and Executive Director of Frasers Centrepoint Asset Management Ltd"
"916","Hallett, James P.","ADESA, Inc. - Director"
"925","Taylor, Wayne Kent","Texas Roadhouse, Inc. - Founder, Chairman and Chief Executive Officer"
"932","Meshgin, Reza A.","Multi-Fineline Electronix, Inc. - Chief Executive Officer"
"941","Roth, Michael Isor","The Interpublic Group of Companies, Inc. - Chairman, Chief Executive Officer and Chairman of Executive Committee"
"944","DePaolo, Joseph J.","Signature Bank - Chief Executive Officer, President, Executive Director and Member of Risk Committee"
"955","Waldman, Eyal ","Westlake Group, LLC - Member of Advisory Board"
"956","O'Rourke P.Eng., O.B.C., James Calhoun","Discovery PGM Exploration Ltd. - Director and Member of Audit Committee"
"957","Nutt, Christopher S.","Automodular Corp. - Chief Executive Officer, President, Chief Financial Officer and Director"
"965","Steers CFA, Robert Hamilton","Cohen & Steers, Inc. - Chief Executive Officer and Director"
"967","Derechin CFA, Adam M.","Cohen & Steers, Inc. - Chief Operating Officer and Member of Executive Committee"
"971","Pautrat, Dominique ","Pharmagest Interactive Societe Anonyme - Chief Executive Officer, Managing Director, Director, Member of Laboratory Business Committee and Member of Finance & Social Management Committee"
"979","Peltz, Stuart  W.","PTC Therapeutics, Inc. - Co-Founder, Chief Executive Officer and Executive Director"
"999","Lombardo, Sebastian ","Valtech SA - Chairman of the Board of Directors, Chief Executive Officer and Member of Strategic Committee"
"1000","Dizier, Philippe ","Le Blier S.A. - Chief Executive Officer and Director"
"1020","Khan, Anis A.","Mutual Trust Bank Limited - Chief Executive Officer, Managing Director, Director, Chairman of Asset Liability Committee and Member of Executive Committee"
"1023","Djaja, Irwan ","PT First Media Tbk - Vice President Director"
"1024","Zhou, Jun ","SIIC Environment Holdings Ltd. - Executive Chairman, Chairman of Executive Committee and Member of Remuneration Committee"
"1026","Chu, Tran Ngoc","Hoa Sen Group - Vice Chairman, General Director and Member of The Management Board"
"1031","Jia, Zhi Hong ","Kingold Jewelry, Inc. - Founder, Chairman, Chief Executive Officer and President"
"1040","Ismar, Jens ","Bulk Invest ASA - Chief Executive Officer"
"1050","Lin, Guo Rong ","China Minzhong Food Corporation Limited - Executive Chairman and Chief Executive Officer"
"1061","Coll, Edward ","Pangaea Logistics Solutions Ltd. - Co-Founder, Chairman of the Board and Chief Executive Officer"
"1063","Chen, Gang ","Happigo Home Shopping Co.,Ltd. - Chairman of The Board and General Manager"
"1064","Trent, Peter ","Macquarie Atlas Roads Group - Chief Executive Officer"
"1068","Berman, Gary ","Tricon Capital Group Inc. - Chief Executive Officer, President and Non Independent Director"
"1071","Watchorn, Glenn ","Tricon Capital Group Inc. - Former Co-Chief Operating Officer"
"1076","McNabb, Frederick William","Vanguard Index Funds - Vanguard Small-Cap Value ETF - Chairman and Chief Executive Officer"
"1096","Cocos, Simona ","S.C. Zentiva S.A. - General Manager and Director"
"1113","Stadler, Rupert ","Volkswagen AG - Member of Board of Management"
"1123","Hozumi, Masaaki ","TAKADAKIKO (Steel Construction) CO., LTD. - President and Representative Director"
"1136","Harding P.Geol, Steven Craig","Kicking Horse Energy Inc. - Chief Executive Officer, President, Director and Member of Reserves Committee"
"1137","Qu, Yuanqin ","Orient International Enterprise, Ltd. - General Manager"
"1149","Li, Quan Yong ","Tianjin Port Development Holdings Limited - Managing Director, Executive Director and Member of Nomination Committee"
"1165","Mazzarella, Kathleen M.","Graybar Electric Company, Inc. - Chairman, Chief Executive Officer, President, Member of Executive Committee, Member of Finance Committee, Member of Branch House Committee, Member of Employees Benefits Committee, Member of IT Committee and Member of Sustainability Committee"
