"AbdielIndivID","IndividualName","IndividualTitle"
"53861","Shaunnessy, Michael P.","Nevada Gold & Casinos Inc. - Chief Executive Officer and President"
"53866","Prasad, Arvind ","Ushdev International Limited - Chief Executive Officer, Managing Director, Director, Member of Audit Committee, Member of Stakeholders’ Relationship Committee and Member of Corporate Social Responsibility Committee"
"53867","Lance, Howard L.","Change Healthcare Holdings, Inc. - Chairman, Member of Compensation Committee and Member of Nominating Committee"
"53869","Mona Jr., Michael J.","CV Sciences, Inc. - Founder, Chairman, Chief Executive Officer and President "
"53875","Marr, Christopher P.","Brandywine Realty Trust - Former Chief Financial Officer and Senior Vice President"
"53879","Beyen, Gil ","Erytech Pharma Socit Anonyme - Chairman and Chief Executive Officer"
"53880","Marie De Romanet De Beaune, Augustin Pascal Pierre Louis","Aroports de Paris S.A. - Chairman and Chief Executive Officer"
"53903","Colo, David J.","Diamond Foods, Inc. - Former Chief Operating Officer and Executive Vice President"
"53911","Thomson, Robert J.","Twenty-First Century Fox, Inc. - Former Chief Executive Officer"
"53912","Gegenheimer, Scott Marc","Mobile Telecommunications Company K.S.C.P. - Chief Executive Officer"
"53926","Lautenbach, Marc B.","Pitney Bowes Inc. - Chief Executive Officer, President, Director and Member of Executive Committee"
"53927","Trojan, Gregory A.","BJ's Restaurants, Inc. - Chief Executive Officer, President and Director"
"53930","Choi, Chiu Ming ","China Financial Leasing Group Limited - General Manager"
"53934","Chang Ph.D., David ","Airoha Technology Corp. - Chief Executive Officer, President and Director"
"53935","Cregg, Roger A.","AV Homes, Inc. - Chief Executive Officer, President and Director"
"53942","Yamashita, Kiyotsugu ","Sankyo Tateyama, Inc. - President and Representative Director"
"53947","Lenoir, Laurent ","Taminco Corporation - Director, Member of Executive Committee and Member of Environmental, Health and Safety Committee"
"53958","Urakabe, Masahiro ","Seed Co.,Ltd. - President and Representative Director"
"53960","Won, Lee Je","KOSSEN Co., Ltd. - Chief Executive Officer"
"53968","Turangan, Stephanus ","PT Trimegah Sekuritas Indonesia Tbk - President Director"
"53973","Bin Dato' Azmi Merican, Azmir Merican ","UEM Edgenta Berhad - Chief Executive Officer, Managing Director and Executive Director"
"53980","Wu, Siu Lam ","Sheng Yuan Holdings Limited - Chief Executive Officer and Executive Director"
"53984","Johnson, David Ian","Alliqua BioMedical, Inc. - Chief Executive Officer, President, Director and Executive Chairman of Aquamed Technologies Inc"
"53986","Maeta, Toshihiro ","MTI Ltd. - Chief Executive Officer, President and Director"
"54013","Douat, Jerome ","Vergnet SA - Chairman of the Management Board and Chief Executive Officer"
"54018","Deng, Ziquan ","Shenzhen Changfang Group Co., Ltd. - General Manager and Director"
"54025","Brown, Steven K.","accesso Technology Group plc - Chief Executive Officer, President and Executive Director"
"54027","Al Arifi, Saad Saud ","Northern Region Cement Company - Managing Director, Executive Director and Member of Nomination & Compensation Committee"
"54057","Alvarez De Tejera, Pablo Isla ","Industria de Diseno Textil SA - Executive Chairman, Chief Executive Officer and Chairman of Executive Committee"
"54060","de Lima, Roberto Oliveira ","Natura Cosmticos SA - Chief Executive Officer"
"54070","Mody, Rajiv Chandrakant ","Sasken Communication Technologies Limited - Co-Founder, Chairman, Chief Executive Officer, Managing Director, Chairman of Corporate Social Responsibility Committee, Member of Stakeholders Relationship Committee and Member of Risk Management Committee"
"54073","Atluri B.Com, PGDACS, Ashok ","Zen Technologies Ltd. - Chairman, Managing Director, Chairman of Compensation Committee, Chairman of Risk Management Committee, Member of Audit Committee, Member of Nomination & Remuneration Committee, Member of Stakeholders Relationship Committee and Member of Corporate Social Responsibility (CSR) Committee"
"54077","Froneman PREng.,B.Sc.(MechEng.)(Ind.Opt),UniversityoftheWit, Neal John","Sibanye Gold Limited - Chief Executive Officer, Executive Director and Member of Safety, Health & Sustainable Development Committee"
"54081","Yu, Haibo ","Beijing Media Corporation Limited - Vice Chairman, President and Member of Remuneration Committee"
"54088","Johansson, Sven-Olof ","FastPartner AB (publ) - Founder, Chief Executive Officer and President "
"54106","Ruangkritya, Chanond ","Ananda Development Public Company Limited - Chief Executive Officer, President, Director, Chairman of Executive Committee, Member of Nomination & Remuneration Committee and Member of Good Corporate Governance Committee"
"54117","Dadouch, Eli ","Firm Capital Property Trust - Vice Chairman and Co-Chief Investment Officer"
"54125","Imaz San Miguel, Josu Jon ","Repsol, S.A. - Chief Executive Officer, Executive Director and Member of Delegate Committee"
"54128","Jo, Jai-Hyoung ","KOYJ Co., Ltd. - Chief Executive Officer"
"54135","Phu, Pham Hong","The Southern Rubber Industry Joint Stock Company - Chief Executive Officer and Director"
"54141","Schwark, Janusz ","BSC Drukarnia Opakowan S.A. - President of Management Board "
"54143","Silvers, Gregory K.","EPR Properties - Chief Executive Officer, President, Secretary and Trustee"
"54151","Jatia B.Com., B.Sc., Amit ","Westlife Development Limited - Vice Chairman, Chief Executive Officer, Member of Audit Committee, Member of Nomination & Remuneration Committee and Member of Stakeholders Relationship Committee"
"54153","Barragry, Antony Patrick","IGB Real Estate Investment Trust - Chief Executive Officer of IGB REIT Management Sdn Bhd, Chairman of Investment Working Group Committee and Chairman of Risk Management Committee"
"54173","van Beurden, Ben ","Royal Dutch Shell plc - Chief Executive Officer and Director"
"54186","Sasaki, Yuichi ","SUCCESS Holdings Company Limited - Manager of Nijiiro Business Department and Director"
"54188","Sheehan, Matthew T.","Primo Water Corporation - President and Chief Operating Officer"
"54219","Tse, Hoi Chau ","Artini China Company Ltd. - Chairman, Chief Executive, Member of Nomination Committee and Member of Remuneration Committee"
"54227","Steinberg, Joseph S.","Crimson Wine Group, Ltd. - Director"
"54229","Covey, Patrick M.","The Davey Tree Expert Company - President, Chief Operating Officer, Director and Member of Corporate Governance Committee"
"54230","Fineman, Paul ","IG Design Group Plc - Chief Executive Officer, Managing Director and Executive Director"
"54234","Takanashi, Teruhiko ","LAC Co., Ltd. - President and Representative Director"
"54264","Sasahara, Tomoya ","S Trust  Co., Ltd. - President and Representative Director"
"54273","Yang, Guo Ping ","Dazhong Transportation (group) Co., Ltd. - Chairman, Chief Executive Officer, President and General Manager"
"54316","Kraibhubes M.D., Suwin ","Beauty Community Public Company Limited - Chief Executive Officer, Deputy Director of Product Development & Purchasing Department, Chief Executive Director, Deputy Director of Marketing Department, Director and Member of Nomination & Remuneration Committee"
"54333","Bosley, Katrine S.","Highland Capital Partners - Analyst"
"54351","Palmer, Sheryl D.","Taylor Morrison Home Corporation - Chief Executive Officer, President, Director, Chief Executive Officer of Taylor Morrison Inc and President of Taylor Morrison Inc"
"54364","Yin, Ya Ping ","Xuzhou Handler Special Vehicle Co., Ltd. - Deputy General Manager and Director"
"54388","Liu, Haijun ","Wison Engineering Services Co. Ltd. - Chief Executive Officer and Executive Director"
"54389","Kawana, Yoshiyuki ","ALPHA Corporation - President and Representative Director"
"54396","Zhang, Zheng ","Shaanxi Ligeance Mineral Resources Co., Ltd. - General Manager and Chairman"
"54398","Ringnes, Christian ","Victoria Eiendom AS - Chief Executive Officer"
"54401","Cao, Xue ","Sichuan Em Technology Co., Ltd. - General Manager"
"54402","Seo, Hyeong-Soo ","RSUPPORT Co., Ltd. - Chief Executive Officer"
"54406","Levinger, Asa ","Energixs-Renewable Energies Ltd. - Chief Executive Officer"
"54420","Jiang, Weiqiu ","Jiangsu Fasten Company Limited - Chairman"
"54422","Liao, Xiaoxia ","Shenzhen Auto Electric Power Plant Co., Ltd. - Chairman"
"54427","Saar, Eran ","Naphtha Israel Petroleum Corp. Ltd. - Chief Executive Officer"
"54430","Pitt, Tony Robert","360 Capital Industrial Fund - Managing Director and Executive Director of 360 Capital Investment Management Limited"
"54445","Padilla, Nestor J.","Rockwell Land Corporation - Chief Executive Officer, President, Director and Member of Risk Management Committee"
"54459","Xiong, Zeke ","Pizu Group Holdings Limited - Chief Executive Officer and Executive Director"
"54470","Xing, Qibin ","Shenzhen Jufei Optoelectronics Co., Ltd. - Chairman and General Manager"
"54473","Pham, Quang Tuyen ","Lam Thao Fertilizers & Chemicals Join-Stock Company - General Director and Director"
"54476","Yuan, Zhigang ","Liuzhou Chemical Industry Co., Ltd. - Secretary of the Board and Director"
"54480","Tisser, Shlomo ","Villar International Ltd. - Chief Executive Officer and Director"
"54494","Song, Sen ","Shandong New Beiyang Information Technology Co., Ltd. - Deputy General Manager and Secretary"
"54536","Yamamoto, Tsuyoshi ","Jibannet Holdings Co., Ltd. - President and Representative Director"
"54545","Hete, Joseph C.","Airborne, Inc. - Former President - ABX and Chief Operating Officer - ABX"
"54553","Assaubayev, Aidar Kanatovich","GoldBridges Global Resources plc - Chief Executive Officer and Executive Director"
"54559","Chen, Jiang Tao ","Beijing Watertek Information Technology Co. Ltd - Chairman of the Board of Directors and General Manager"
"54570","Mantzounis, Demetrios P.","Alpha Bank A.E. - Chief Executive Officer, Managing Director, Executive Director, Chairman of Operations Committee, Chairman of AssetsLiabilities Management Committee, Chairman of Operational Risk Committee and Chairman of Credit Risk Committee"
"54583","Teh, Ivan ","Fusionex International Plc - Chief Executive Officer, Managing Director and Executive Director"
"54590","Otsu, Yasuyuki ","The Keihin Co., Ltd. - President and Representative Director"
"54598","Cho, Hwan-Eik ","Korea Electric Power Corp. - Chief Executive Officer, President and Standing Director"
"54604","Wang, Lezhi ","Shandong Tongda Island New Materials Co.,Ltd. - General Manager"
"54622","Gutierrez, Mauricio ","GenOn Energy, Inc. - Chief Executive Officer, President and Director"
"54646","Douglas, J. Boyd","Computer Programs & Systems Inc. - Chief Executive Officer, President, Executive Director, Chief Executive Officer of Evident, LLC and President of Evident, LLC"
"54664","Takada, Yasushi ","Kyoei Tanker Co., Ltd. - Senior Managing Director and Representative Director"
"54668","Shiomi, Masanori ","Haneda Zenith Holdings Co., Ltd. - President and Representative Director"
"54678","Hu, Zhi Biao ","Daoming Optics and Chemical Co., Ltd. - Chief Executive Officer and Director"
"54679","Shirotani, Naohiko ","Tecnos Japan Incorporated - Chief Executive Officer and Representative Director"
"54684","Shoval, Gideon ","Export Investment Co. Ltd. - Chief Executive Officer and Director"
"54689","Gerstner, Andr ","Groclin S.A. - Former President of Management Board"
"54712","Williams, Rich ","Groupon, Inc. - Chief Executive Officer and Director"
"54730","Yao, He Ping","Anhui Anli Material Technology Co., Ltd. - Chairman, Chief Executive Officer and General Manager"
"54733","Hod, Oren ","Africa Israel Residences Ltd. - Chief Executive Officer"
"54734","Israeli, Ilan ","Danel (Adir Yehoshua) Ltd. - Chief Executive Officer"
"54748","Nash, Michael B.","Blackstone Mortgage Trust, Inc. - Executive Chairman"
"54765","King, Stark ","Stark Technology, Inc. - Chairman of the Board and Chief Executive Officer"
"54781","Burke, Thomas A.","Modine Manufacturing Company - Chief Executive Officer, President and Director"
"54785","Chung  FCPA, FCCA, Yuk Man ","Melco Crown (Philippines) Resorts Corporation - Chairman, President, Member of Audit Committee, Member of Compensation Committee and Member of Nominating & Corporate Governance Committee"
"54806","Chan, Fut Yan ","ITC Properties Group Limited - Managing Director, Executive Director, Member of Remuneration Committee and Member of Investment Committee"
"54808","Chen, Tsan-Jen ","Contrel Technology Co., Ltd. - President"
"54810","Lotan, Shaul ","Levinstein Properties Ltd. - Chief Executive Officer and Director"
"54826","Wu, Yong ","First Tractor Co. Ltd. - General Manager, Executive Director and Member of Strategic & Investment Committee"
"54837","Takeda, Masaaki ","Punch Industry Co., Ltd. - Chief Executive Officer, President, Executive Officer and Representative Director"
"54842","Ho, Lee Chang","Sammok Kang Up Co., Ltd. - Chief Executive Officer"
"54844","Hota, Deepak Kumar","BEML Limited - Chairman, Managing Director, Chairman of Share Certificate Committee, Member of Nomination & Remuneration Committee, Member of Stakeholders Relationship Committee and Member of Corporate Social Responsibility & Sustainability Committee"
"54849","Carroll, David C.","Five Oaks Investment Corp. - Chairman, Chief Executive Officer and President"
"54853","Chui, Say Hoe ","Hoifu Energy Group Limited - Managing Director, Executive Director and Member of Remuneration Committee"
"54857","Lim Ph.D., Geun-Cho ","ST Pharm Co. Ltd. - Chief Executive Officer and President"
"54858","Piyathassrikul, Sirisak ","DNA 2002 Public Company Limited - Managing Director and Director"
"54871","Kinney Ph.D., Gene G.","Prothena Corporation plc - Chief Operating Officer, Chief Scientific Officer and Head of Research & Development"
"54874","Lee, Hae-Jin ","Nanos Co., Ltd. - Chief Executive Officer and President"
"54876","Zhang, Mei Rong ","Shenzhen Microgate Technology Co., Ltd. - General Manager and Director "
"54887","Lu, Yimin ","China United Network Communications Limited - President and Director"
"54901","Hueth, Laurence J.","First Northwest Bancorp - Chief Executive Officer, President, Director, Chief Executive Officer of First Federal Savings & Loan Association of Port Angeles, President of First Federal Savings & Loan Association of Port Angeles and Director of First Federal Savings & Loan Association of Port Angeles"
"54909","Ng, Tin Hoi","Wheelock Properties (Singapore) Limited - Executive Chairman"
"54920","Zhong, Jianru ","Guangdong Mingzhu Group Co., Ltd. - Secretary of the Board"
"54927","Chai, Chan-Young ","Digital Optics Co., Ltd. - Chief Executive Officer"
"54932","Vongchaiyasit, Lertchai ","Arrow Syndicate Public Company Limited - Chief Executive Officer, Director and Member of Nomination & Remuneration Committee"
"54957","Baruch Jr., Yosef Haim","Inelco Corporation - Chief Executive Officer, President, Chief Financial Officer, Secretary, Treasurer and Director"
"54964","Durante, Nicandro ","British American Tobacco (Zambia) Plc - Chief Executive Officer of British American Tobacco Plc and Director of British American Tobacco Plc"
"54985","Friberg, Johan ","Image Systems AB - Managing Director of Motion Analysis"
"54992","Blickenstaff, Kim D.","Medivation, Inc. - Chairman and Member of Audit Committee"
"55010","Stein, Jeffrey L.","Sofinnova Ventures, Inc. - Venture Partner"
"55011","Hartnett, Michael J.","RBC Bearings Inc. - Chairman, Chief Executive Officer and President"
"55018","Ding, Chung Keung ","Goldbond Group Holdings Limited - Chief Executive Officer, Executive Director, Member of Nomination Committee and Member of Remuneration Committee"
"55023","Karkaria, Zubin ","Kuoni Reisen Holding AG - Chief Executive Officer and Member of Executive Board"
"55026","Liu, Ming ","Letong Chemical Co., Ltd. - Chairman of the Board and President"
"55034","Harsono, Heyzer ","PT Aneka Gas Industri - President Director"
"55039","Hameed, Ossama Farouk Abdul","Basic Chemical Industries Company - Chief Executive Officer and Chief Financial Officer"
"55043","Sirithanachai, Thanapol ","Golden Land Property Development Public Company Limited - President, Director and Member of Executive Committee"
"55044","Dubovskov, Andrei Anatolyevich","Public Joint Stock Company Moscow City Telephone Network - Chairman of The Board"
"55045","Thaisa-nguanvorakul D.P.A, Somchai ","SNC Former Public Company Limited - Chief Executive Officer, President, Director and Chairman of Executive Committee"
"55053","bin Abdullah Al Duailej, Abdul Aziz ","Saudi Printing and Packaging Company - Chief Executive Officer, Executive Board Member and Member of Executive Committee"
"55061","Wee Gee, Ang ","Keppel REIT - Non-Independent Non-Executive Director of Keppel REIT Management Limited and Member of Nominating & Remuneration Committee"
"55067","Izumi, Manabu ","Chimney Co., Ltd. - Chief Executive Officer, President, Executive Officer and Representative Director"
"55077","Rao, N. Venugopala","Reliance Power Limited - Chief Executive Officer and Member of Risk Management Committee"
"55081","Sano, Kimiya ","Katakura Industries Co., Ltd. - President and Representative Director"
"55087","Hassan, Sk. Abul","Appollo Ispat Complex Limited - Executive Director and Company Secretary"
"55095","Oosaka, Noriyuki ","Soken Chemical & Engineering Co., Ltd. - President and Representative Director"
"55101","Nawana, Namal ","Alere Inc. - Chief Executive Officer, President and Director"
"55107","Missling M.S., Ph.D., M.B.A., Christopher U.","Anavex Life Sciences Corp. - Chairman, Chief Executive Officer and President"
"55131","Peck, James M.","TransUnion - Chief Executive Officer, President, Director, Member of Executive Committee and Member of Nominating & Corporate Governance Committee"
"55136","Johansson, Roger ","Dometic Group AB (publ) - Chief Executive Officer and President"
"55148","Lindholm M.Sc. (Econ.), MBA, Casimir ","Lemminkainen Oyj - Chairman of Management Board, Chief Executive Officer and President"
"55155","Wong, Sie Young ","Jaya Tiasa Holdings Berhad - Chief Executive Officer, Director and Chairman of Risk Management Committee"
"55156","Searles GAICD, DipM, Grad Dip Mktg, Mark P. L.","AUB Group Limited - Chief Executive Officer, Managing Director and Director"
"55157","Quartermaine, Mark R.","Alternative Networks Plc - Chief Executive Officer, Member of Executive Board and Executive Director"
"55158","Catel, Benoit Marie Francois Michel","Banque de la Runion S.A. - Chief Executive Officer"
"55167","Ono, Naohiko ","Syuppin Co., Ltd. - President and Director"
"55178","Kimura, Kazuyoshi ","Kojima Co. Ltd. - Chairman, Chief Executive Officer, President and Executive Officer"
"55192","Aihara, Teruo ","FINDEX Inc. - President and Representative Director"
"55228","Perry, David Alan","Overseas Education Limited - Executive Chairman and Member of Nominating Committee"
"55250","McInerney, Thomas Joseph","Genworth Financial, Inc. - Chief Executive Officer, President and Director"
"55252","Tsai, Hsi Chin S. J.","Oriental Union Chemical Corporation - President and Director"
"55255","Janson, Jan-Frode ","SpareBank 1 Nord-Norge - Chief Executive Officer"
"55289","Kiley III, Joseph W.","First Financial Northwest, Inc. - Chief Executive Officer, President, Director, Chairman of Executive Committee, Chief Executive Officer of First Savings Bank Northwest, President of First Savings Bank Northwest and Director of First Savings Bank Northwest"
"55291","Matsui, Kenji ","Adjuvant Cosme Japan Co.,Ltd. - Managing Director and General Manager of Sales Division"
"55304","Claure, Marcelo ","Cellular Telecommunications & Internet Association - Former Director"
"55310","He, Jun ","Meihua Holdings Group Co., Ltd. - Deputy General Manager and Director"
"55327","Giordano, Sebastian ","WPCS International Incorporated - Chief Executive Officer and Director"
"55334","Estefanell Jara, Valentn ","Inypsa Informes y Proyectos, S.A. - Chief Executive Officer and Chairman of Executive Officers Committee"
"55340","Osterberg, Jakob ","Slottsviken Fastighetsaktiebolag (publ) - Chief Executive Officer and Director"
"55343","Murphy ACA MBA, Jonathan Stewart","Assura Plc - Finance Director, Company Secretary and Director"
"55349","Allagany, Khalid Ja’Far Moustafa","Al Alamiya for Cooperative Insurance Company - Chief Executive Officer, Managing Director, Executive Director, Chairman of Executive Committee, Chairman of Investment Committee, Chairman of Disclosure Committee and Chairman of Risk Committee"
"55353","Tanizawa, Fumihiko ","HORAI Co., Ltd. - Chief Executive Officer, President and Representative Director"
"55361","Han, Dong-Hwa ","DHP Korea Co., Ltd. - Chief Executive Officer and President"
"55363","George, Ronnie ","Volution Group plc - Chief Executive Officer and Executive Director"
"55388","Karlen, Stefan ","Panalpina World Transport Holding Ltd. - Chief Executive Officer, President and Member of Executive Board"
"55389","Schaaf, Ray ","indiePub Entertainment, Inc. - Chief Executive Officer, President and Director"
"55397","Dave, Pankaj Kumar Jayantilal","Filmcity Media Ltd. - Non Executive & Independent Director, Chairman of Stakeholders' Relationship Committee, Member of Audit Committee and Member of Nomination & Remuneration Committee"
"55398","Modi, Raj Kumar","Filmcity Media Ltd. - Managing Director, Chief Financial Officer, Executive Director, Chairman of Audit Committee, Member of Stakeholders' Relationship Committee and Member of Nomination & Remuneration Committee"
"55399","Yau, Kok Seng ","Tropicana Corporation Berhad - Group Chief Executive Officer, Executive Director, Vice Chairman of Executive Committee, Member of Option Committee, Member of Pricing Committee and Member of Risk Management Committee"
"55418","Constant, Christopher J.","Getty Realty Corp. - Chief Executive Officer, President and Director"
"55424","Zhang, Zong Lie ","SUFA Technology Industry Co.,Ltd.,CNNC. - General Manager and Director"
"55457","Madison, Gregory P.","AMAG Pharmaceuticals, Inc. - Former Chief Commercial Officer"
"55464","Wu, Lily ","Phoenitron Holdings Limited - Executive Chairman, Chief Executive Officer, Chief Compliance Officer, Chairman of Nomination Committee and Member of Remuneration Committee"
"55466","Pruitt, Michael D.","Chanticleer Holdings, Inc. - Chairman, Chief Executive Officer and President"
"55473","Brydon MBA, FAICD, FAIM, Dip Elect Eng, Dip Elron Eng, Martin ","Adelaide Brighton Ltd. - Chief Executive Officer, Managing Director and Executive Director"
"55483","Chiu, B. K.","Millennium & Copthorne Hotels New Zealand Limited - Managing Director, Executive Director, Member of Due Diligence Committee, Member of Audit Committee and Member of Continuous Disclosure Committee"
"55488","Ishikawa, Eiji ","ZENKOKU HOSHO Co.,Ltd. - President and Representative Director"
"55497","Gregoire, Michael P.","CA, Inc. - Chief Executive Officer, Global President and Director"
"55504","Narisawa, Motoaki ","CAREERLINK Co.,Ltd. - Chief Executive Officer, President and Representative Director"
"55509","Jalona, Sanjay ","Infosys BPO Limited - Former Head of US Operations for the Hi-Tech and Manufacturing Industry"
"55517","Cutifani BEng (Mining), Fellow AusIMM, Mark ","Anglo American plc - Chief Executive Officer, Executive Director, Member of Safety & Sustainable Development Committee, Member of Corporate Committee and Member of Operational Committee"
"55518","Meaney, William L.","Iron Mountain Incorporated - Chief Executive Officer, President, Director and Member of Risk & Safety Committee"
"55521","Kerman, Arie ","The Gold Bond Group Ltd. - Chief Executive Officer"
"55524","Jagnani, Rahul ","Rajlaxmi Industries Limited - Managing Director, Executive Director, Member of Share Transfer Committee, Member of Audit Committee, Member of Stake Holders Relationship Committee, Member of Nomination & Remuneration Committee and Member of Risk Management Committee"
"55527","Hinchcliffe, Robert P.","Galway Gold Inc. - Chief Executive Officer, President, Director and Member of Audit Committee"
"55534","O'Sullivan, Kieran M.","CTS Corporation - Chairman, Chief Executive Officer, President and Member of Technology & Transactions Committee"
"55545","Kumar, Ashwani ","Dena Bank Ltd. - Chairman, Managing Director, Chairman of Committee of on Integrated Risk Management, Chairman of Committee for Monitoring Large Value Frauds, Chairman of Share Transfer Committee, Chairman of Customer Service Committee, Chairman of Information Technology Committee, Chairman of Credit Approval Committee, Chairman of Committee for Monitoring High Value NPAs \ Loss Asset, Chairman of Departmental Promotion Committee, Chairman of Management Committee, Member of Steering Committee on HR and Member of"
"55561","Cates CPA, CA, MAcc, David Daniel","Denison Mines Corp. - Chief Executive Officer and President"
"55577","Colman C.A., Adrian Maxwell","Wincanton plc - Chief Executive, Executive Director and Member of Nomination Committee"
"55592","Liao, Chuang Bin ","GuangDong CHJ Industry Co. Ltd. - General Manager and Director"
"55597","Wong, Kam Fai ","Golden Wheel Tiandi Holdings Company Limited - Vice Chairman, Chief Executive Officer and Member of Remuneration Committee"
"55606","Shetty, Bavaguthu Raghuram","Alexandria New Medical Center - President of the Board of Directors and Managing Director"
"55612","Staley, James E.","BlueMountain Capital Management LLC - Managing Partner, Member of Management Committee, Member of Risk Committee, and Member of Investment Committee"
"55616","Joehle, Andreas ","Paul Hartmann AG - Chairman of the Management Board and Chief Executive Officer"
"55617","Wang, Jian feng ","Ningbo Joyson Electronic Corp. - Chairman and President"
"55621","Fang, Ming-Tsung ","Mildex Optical Inc. - Chairman, Chief Executive Officer and General Manager"
"55624","Langle CPA, David C.","Sanomedics, Inc. - Chief Executive Officer, President, Chief Financial Officer and Chief Accounting Officer"
"55636","Chopra, Rajiv ","The State Trading Corporation of India Ltd. - Director of Marketing, Director and Member of Stakeholders Relationship Committee"
"55641","Van, Tran Thanh","Dry Cell And Storage Battery Joint Stock Company - Chief Executive Officer, General Director, Member of Management Board and Director"
"55647","Horio, Yozo ","Miyoshi Oil & Fat Co., Ltd. - President and Representative Director"
"55651","Sugie, Toshihiko ","Isetan Mitsukoshi Holdings Ltd. - Senior Managing Executive Officer, General Manager of Strategic Planning Headquarters and Director"
"55663","Zhang, De Shun ","Tianjin Jing Wei Electric Wire Co., Ltd. - General Manager and Director "
"55665","Han, Xian Fu ","Kaori Heat Treatment Co., Ltd. - General Manager and Director"
"55669","Petiot, Emmanuel ","Deinove SA - Chief Executive Officer"
"55684","Emerson, Scott ","Kingsmen Resources Ltd. - Chief Executive Officer, President and Director"
"55694","Radie, Robert S.","Egalet Corporation - Chief Executive Officer, President and Director"
"55705","Suh, Seung Hwa ","Hankook Tire Co., Ltd. - Vice Chairman, Chief Executive Officer, Chairman of Management Committee, Chairman of Sustainability Committee and Member of Non-Executive Directors Nomination Committee"
"55720","Strianese, Michael T.","L-3 Communications Holdings Inc. - Chairman, Chief Executive Officer and Member of Executive Committee"
"55727","Jern, David ","MedCap AB (publ.) - Investment Manager"
"55739","Chang, Hsien-Ming ","Yeong Guan Energy Technology Group Co., Ltd. - Chairman, President and General Manager"
"55751","Goto, Hideki ","Ucs Co., Ltd. - President and Representative Director"
"55789","Cheang, Phoy Ken ","Comfort Gloves Berhad - Managing Director and Executive Director"
"55798","Morch, Paul ","Dome Energy AB (publ) - Chief Executive Officer, President and Director"
"55813","Turner, Francina K.","Asia Pacific Data Centre Group - Chief Executive Officer, Company Secretary and Executive Director"
"55815","Scherr, Scott ","The Ultimate Software Group, Inc. - Founder, Chairman, Chief Executive Officer, President and Chairman of Executive Committee"
"55820","Fan, Zheng Jun ","Zhejiang Yonggui Electric Equipment Co., Ltd. - General Manager and Director"
"55821","Munshi, Amit D.","EPIRUS Biopharmaceuticals, Inc. - Former Chief Executive Officer, President and Director"
"55823","Post BSc, Msc (Mathematics), Sjoerd ","The New Zealand Refining Company Limited - Chief Executive Officer"
"55835","Carney, Lloyd A.","Brocade Communications Systems, Inc. - Chief Executive Officer and Director"
"55836","Sugimoto, Hideo ","G.taste Co.,Ltd. - Chief Executive Officer, President and Representative Director"
"55840","Ishizaka, Shigeru ","IBJ,Inc. - President and Representative Director"
"55850","Barber, Scott K.","Hawaiian Telcom Holdco, Inc. - Chief Executive Officer, President, Director and Member of Executive Committee"
"55854","Steinert, Mark Andrew","Stockland Corporation Limited - Chief Executive Officer, Managing Director, Executive Director and Member of Sustainability Committee"
"55892","Atkins BSc, MRICS, David John","Hammerson plc - Chief Executive Officer and Executive Director"
"55893","Segal B.Sc., M.B.A., Julian ","Orica Limited - Former Chief Executive of Incitec Pivot Ltd and Managing Director of Incitec Pivot Ltd"
"55913","Tang, Celine ","SingHaiyi Group Ltd. - Group Managing Director and Executive Director"
"55915","Torralba B.Sc,C.P.A, Ramon G.","San Miguel Brewery Hong Kong Ltd. - Managing Director and Executive Director"
"55939","Kinoshita, Shigeki ","Daihatsu Diesel Mfg. Co., Ltd. - President and Executive Director"
"55947","Seung-Jo, Huh ","GSRetail Co., Ltd. - Chief Executive Officer"
"55968","Li, Yeung Tak ","DongGuan EONTEC Co., Ltd. - Chief Executive Officer"
"55970","Hsieh, Thomas ","Kinik Company - Chief Executive Officer and President of Abrasives B.U."
"55990","Zhou, LiWu ","Xingyuan Environment Technology Co., Ltd. - Chairman"
"55996","O'Neill, Robert Francis","American Hotel Income Properties REIT LP - Chief Executive Officer of American Hotel Income Properties REIT (GP) Inc and Director of American Hotel Income Properties REIT (GP) Inc"
"56007","Wang, Donglei ","NVC Lighting Holding Limited - Chairman, Chief Executive Officer, Chairman of Nomination Committee, Chairman of Strategy & Planning Committee and Member of Emergency Committee"
"56009","Shibata, Yuki ","Meitetsu Transport Co.,Ltd. - President and Director"
"56015","Meyer, Robert Gunther","Halcyon Agri Corporation Limited - Executive Chairman, Chief Executive Officer and Member of Nominating Committee"
"56017","Sabugal Armijo, Antonio ","Compaa Industrial El Volcn S.A. - Chief Executive Officer"
"56025","Malecha, Francis J.","Compass Minerals International Inc. - Chief Executive Officer, President, Director and Member of Environmental, Health & Safety Committee"
"56032","Zachert, Matthias ","Lanxess AG - Chairman of the Board of Management"
"56048","Glazer, Joel M.","Manchester United plc - Executive Co-Chairman, Principal Executive Officer and Chairman of Remuneration Committee"
"56050","Kingwill B.Com, CA, FAICD, Guy S.","Tandou Limited - Chief Executive Officer and Managing Director"
"56054","Yong Mcs, Keang Cheun ","IFCA MSC Berhad - Founder, Executive Chairman and Chief Executive Officer"
"56059","Liu, David ","Huizhou China Eagle Electronic Technology Co., Ltd. - General Manager and Director"
"56062","Chishti, Muhammad Ziaullah Khan","TRG Pakistan Limited - Chief Executive Officer and Director"
"56068","Shinkai, Motoshi ","Nippon Seisen Co., Ltd. - President and Representative Director"
"56079","Yeh, C. L.","Everest Textile Co., Ltd. - President and Director"
